FIPS,Total Population,California County,ZIP,Approximate Location,Longitude,Latitude,CES 4.0 Score
6037218600,3148,Los Angeles,90016,Los Angeles,-118.3427412,34.0371852,44.49
6037406702,6375,Los Angeles,91790,West Covina,-117.9382452,34.0659535,44.43
6037201602,2960,Los Angeles,90032,Los Angeles,-118.1678921,34.07715,44.40
6037602402,6869,Los Angeles,90250,Hawthorne,-118.3568525,33.9091622,44.39
6037219020,5411,Los Angeles,90018,Los Angeles,-118.3226729,34.0222083,44.37
6037550202,5710,Los Angeles,90650,Norwalk,-118.0896892,33.921285,44.31
6037224700,6238,Los Angeles,90007,Los Angeles,-118.280016,34.0262403,44.29
6037406200,5811,Los Angeles,91723,Covina,-117.8979159,34.0764235,44.29
6037701902,4659,Los Angeles,90401,Santa Monica,-118.4951703,34.012479,44.27
6037236204,3109,Los Angeles,90008,Los Angeles,-118.3491896,34.0147165,44.24
6037406411,2002,Los Angeles,91791,West Covina,-117.8997854,34.0696708,44.23
6037531701,5375,Los Angeles,90022,East Los Angeles,-118.1520851,34.0216887,44.22
6037206031,4131,Los Angeles,90021,Los Angeles,-118.2331623,34.0320283,44.19
6037213402,4857,Los Angeles,90006,Los Angeles,-118.2878882,34.0498405,44.17
6037219010,3027,Los Angeles,90018,Los Angeles,-118.3229262,34.0276144,44.16
6037701802,4645,Los Angeles,90404,Santa Monica,-118.4789709,34.0188907,44.08
6037533104,4415,Los Angeles,90255,Huntington Park,-118.224409,33.9766899,44.07
6037554101,3548,Los Angeles,90706,Bellflower,-118.1236012,33.8928105,44.03
6037401704,7108,Los Angeles,91767,Pomona,-117.7430957,34.1006379,44.03
6037123901,4696,Los Angeles,91606,Los Angeles,-118.3938003,34.1854544,44.01
6037702803,3063,Los Angeles,90066,Culver City,-118.4325909,33.9954427,44.00
6037127806,3293,Los Angeles,91411,Los Angeles,-118.4572359,34.1885731,43.96
6037501001,3046,Los Angeles,90606,West Whittier-Los Nietos,-118.0706273,33.9903098,43.94
6037573004,4577,Los Angeles,90806,Long Beach,-118.1964734,33.7934906,43.87
6037211922,3269,Los Angeles,90020,Los Angeles,-118.2953981,34.0672221,43.81
6037533502,2143,Los Angeles,90255,Huntington Park,-118.1948545,33.9850347,43.78
6037201401,4693,Los Angeles,90032,Los Angeles,-118.1854971,34.078195,43.75
6037139303,4260,Los Angeles,91356,Los Angeles,-118.5333073,34.1762844,43.75
6037222002,5243,Los Angeles,90018,Los Angeles,-118.3132782,34.0218914,43.65
6037552700,6819,Los Angeles,90650,Norwalk,-118.0732039,33.8985899,43.58
6037221120,3197,Los Angeles,90006,Los Angeles,-118.2878972,34.0421001,43.58
6037238000,6174,Los Angeles,90047,Los Angeles,-118.3097251,33.9472944,43.55
6037552302,4107,Los Angeles,90650,Norwalk,-118.0577671,33.906522,43.53
6037900606,3532,Los Angeles,93535,Lancaster,-118.1244376,34.7004762,43.51
6037407101,4883,Los Angeles,91746,La Puente,-117.9723257,34.0478649,43.49
6037127712,3560,Los Angeles,91406,Los Angeles,-118.4700785,34.1974208,43.48
6037576401,5021,Los Angeles,90813,Long Beach,-118.1785058,33.778974,43.45
6037404401,3715,Los Angeles,91702,Azusa,-117.91619,34.1292276,43.40
6037530005,3971,Los Angeles,90640,Montebello,-118.1114296,34.0282744,43.37
6037576901,5357,Los Angeles,90804,Long Beach,-118.164632,33.7791377,43.36
6037131701,5587,Los Angeles,91335,Los Angeles,-118.5578906,34.2046643,43.32
6037603101,4139,Los Angeles,90247,Gardena,-118.2954546,33.8867825,43.32
6037432401,3705,Los Angeles,91731,El Monte,-118.0220588,34.0905474,43.27
6037132501,4566,Los Angeles,91335,Los Angeles,-118.548597,34.1968245,43.25
6037601801,2834,Los Angeles,90304,Inglewood,-118.3504258,33.9436357,43.23
6037117510,3687,Los Angeles,91343,Los Angeles,-118.4621485,34.233678,43.18
6037211201,2562,Los Angeles,90004,Los Angeles,-118.2984693,34.0745294,43.18
6037910002,7723,Los Angeles,93543,Unincorporated Los Angeles County area,-117.9074722,34.5346329,43.18
6037555001,5321,Los Angeles,90715,Lakewood,-118.0882639,33.8430305,43.16
6037481300,3299,Los Angeles,91770,Rosemead,-118.0825326,34.0762772,43.14
6037534002,4628,Los Angeles,90201,Bell Gardens,-118.1399857,33.9674778,43.13
6037551101,3964,Los Angeles,90242,Downey,-118.1262274,33.9218213,43.12
6037115104,4377,Los Angeles,91325,Los Angeles,-118.5226461,34.2374909,43.12
6037910402,3583,Los Angeles,93550,Palmdale,-118.1256195,34.5834908,43.10
6037221820,2363,Los Angeles,90007,Los Angeles,-118.2864985,34.0304526,43.08
6037113421,6879,Los Angeles,91311,Los Angeles,-118.5830621,34.2335792,43.07
6037190100,4453,Los Angeles,90028,Los Angeles,-118.3416948,34.0994853,43.06
6037237402,3335,Los Angeles,90047,Los Angeles,-118.3013342,33.9784618,43.05
6037554104,2414,Los Angeles,90706,Bellflower,-118.1195565,33.8931415,43.03
6037131400,6367,Los Angeles,91335,Los Angeles,-118.5316957,34.2145917,43.02
6037123520,2816,Los Angeles,91401,Los Angeles,-118.423608,34.1884912,42.98
